@RELATION book_recommendation

@ATTRIBUTE genre {'Biography','Chick Lit','Childrens','Christian','Christian Fiction','Classics','Comics','Fantasy','Fiction','Graphic Novels','Historical Fiction','Historical Romance','History','Horror','Manga','Mystery','Nonfiction','Novels','Paranormal','Paranormal Romance','Philosophy','Picture Books','Poetry','Romance','Science Fiction','Short Stories','Thriller','Urban Fantasy','Vampires','Young Adult'}
@ATTRIBUTE author {'Agatha Christie','Bella Forrest (Goodreads Author)','Bernard Cornwell (Goodreads Author)','Bonnie Bryant','Brandon Sanderson (Goodreads Author)','Carolyn Keene','Charlaine Harris (Goodreads Author)','Christine Feehan (Goodreads Author)','Christopher Pike','Cynthia Harrod-Eagles','Danielle Steel','Darren Shan (Goodreads Author)','David Baldacci (Goodreads Author)','Dean Koontz (Goodreads Author)','Enid Blyton','Erin Hunter','Gena Showalter (Goodreads Author)','Isaac Asimov','J.D. Robb (Goodreads Author)','J.R. Ward (Goodreads Author)','James Hadley Chase','James Patterson (Goodreads Author)','Janet Evanovich (Goodreads Author)','Jennifer L. Armentrout (Goodreads Author)','Jim Butcher (Goodreads Author)','Karen Kingsbury (Goodreads Author)','Kristen Ashley (Goodreads Author)','L.J. Smith (Goodreads Author)','Laurell K. Hamilton (Goodreads Author)','Linda Howard','Lisa Kleypas (Goodreads Author)','Lynsay Sands (Goodreads Author)','Mark Crilley','Meg Cabot (Goodreads Author)','Mercedes Lackey','Nora Roberts (Goodreads Author)','Orson Scott Card','P.G. Wodehouse','Piers Anthony','R.L. Stine (Goodreads Author)','Richelle Mead (Goodreads Author)','Rick Riordan (Goodreads Author)','Sherrilyn Kenyon (Goodreads Author)','Stephen King (Goodreads Author)','Tamora Pierce (Goodreads Author)','Terry Brooks (Goodreads Author)','Terry Pratchett','Walt Disney Company','Will Durant Ariel Durant زكي نجيب محمود (Translator)','مصطفى محمود'}
@ATTRIBUTE recommendation {yes,no}

@DATA
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Mystery','Agatha Christie',yes
'Horror','Stephen King (Goodreads Author)',yes
'Horror','Stephen King (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Mystery','Agatha Christie',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Horror','Stephen King (Goodreads Author)',yes
'Horror','Stephen King (Goodreads Author)',yes
'Science Fiction','Isaac Asimov',yes
'Horror','Stephen King (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Fantasy','Charlaine Harris (Goodreads Author)',yes
'Fantasy','Stephen King (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Fantasy','Brandon Sanderson (Goodreads Author)',yes
'Fantasy','Brandon Sanderson (Goodreads Author)',yes
'Romance','J.R. Ward (Goodreads Author)',yes
'Young Adult','Jennifer L. Armentrout (Goodreads Author)',yes
'Horror','Stephen King (Goodreads Author)',yes
'Fiction','Stephen King (Goodreads Author)',yes
'Young Adult','James Patterson (Goodreads Author)',yes
'Fantasy','Rick Riordan (Goodreads Author)',yes
'Romance','J.R. Ward (Goodreads Author)',yes
'Science Fiction','Isaac Asimov',yes
'Horror','Stephen King (Goodreads Author)',yes
'Young Adult','Richelle Mead (Goodreads Author)',yes
'Horror','Stephen King (Goodreads Author)',yes
'Paranormal Romance','Sherrilyn Kenyon (Goodreads Author)',yes
